time,leniency,linearity,line_distance,structures_used,structures_count,backtrackings,level_length,used_structures
0.2890653610229492,11.5,1.9242627864000048,2.2028985507246377,34,35,0,186,"[41, 33, 28, 15, 2, 35, 40, 19, 37, 33, 39, 12, 30, 5, 36, 31, 13, 24, 38, 17, 3, 1, 25, 33, 31, 25, 33, 40, 22, 21, 12, 2, 11, 2, 22]"
0.287067174911499,14.5,2.4739411893789773,2.4761904761904763,34,35,0,176,"[41, 5, 30, 32, 21, 9, 11, 1, 31, 5, 36, 6, 31, 20, 37, 29, 21, 35, 33, 15, 9, 22, 33, 39, 3, 37, 21, 35, 32, 27, 39, 4, 39, 23, 16]"
0.8521924018859863,12.9,2.0762028069035328,2.642857142857143,35,35,1,167,"[41, 6, 35, 2, 33, 20, 22, 10, 33, 32, 14, 38, 23, 13, 38, 16, 23, 32, 3, 17, 7, 6, 2, 11, 30, 27, 1, 29, 11, 9, 14, 24, 38, 12, 13]"
0.4210939407348633,5.0,1.790543669537834,1.8666666666666667,34,35,0,194,"[41, 1, 25, 33, 2, 28, 32, 10, 37, 33, 25, 17, 37, 21, 33, 12, 28, 25, 10, 1, 9, 22, 2, 39, 4, 20, 5, 11, 19, 1, 9, 37, 31, 17, 1]"
0.3540806770324707,20.5,2.7856066463118982,3.283582089552239,34,35,0,148,"[41, 36, 29, 17, 32, 36, 21, 37, 35, 30, 3, 39, 5, 15, 5, 37, 2, 36, 30, 34, 27, 35, 2, 22, 9, 2, 6, 15, 20, 1, 27, 27, 21, 29, 1]"
0.26405787467956543,17.9,2.4684187064755467,2.711864406779661,34,35,0,182,"[41, 15, 10, 40, 1, 40, 17, 10, 21, 14, 38, 4, 2, 36, 21, 2, 15, 39, 8, 5, 36, 33, 20, 11, 5, 31, 15, 32, 9, 33, 13, 23, 38, 16, 3]"
0.2690541744232178,17.833333333333332,2.2988935198048837,2.5,34,35,0,153,"[41, 13, 35, 38, 16, 8, 28, 12, 32, 28, 11, 2, 34, 40, 24, 11, 17, 32, 21, 5, 34, 13, 21, 35, 13, 12, 3, 26, 23, 32, 16, 8, 19, 6, 23]"
0.3070676326751709,18.333333333333336,2.018988703604088,2.123076923076923,35,35,1,176,"[41, 9, 33, 29, 21, 2, 20, 9, 12, 15, 19, 2, 15, 36, 1, 36, 30, 21, 40, 35, 30, 25, 19, 14, 26, 12, 9, 36, 39, 3, 1, 13, 38, 27, 8]"
0.3030681610107422,7.0,2.3955562812286515,2.435483870967742,35,35,1,182,"[41, 1, 33, 31, 19, 32, 6, 11, 21, 35, 9, 25, 29, 35, 20, 10, 20, 28, 4, 9, 5, 31, 37, 24, 20, 13, 27, 20, 22, 5, 29, 1, 37, 24, 12]"
0.26406288146972656,14.5,2.0385256143273636,2.2448979591836733,34,35,0,169,"[41, 11, 36, 5, 40, 6, 28, 35, 1, 13, 24, 2, 38, 13, 16, 8, 11, 12, 13, 35, 38, 8, 31, 39, 12, 6, 35, 37, 33, 5, 6, 21, 25, 13, 17]"
