linearity,leniency,result
1.944322113872287,48.5,0
2.7412244897959184,11.75,1
2.560129509713229,20.0,1
1.8699625156184925,13.166666666666668,1
2.342378373103011,7.5,1
2.0543535224975664,8.166666666666666,1
2.4574949979992,17.166666666666664,1
2.161275476660092,6.0,1
2.424249974047545,6.5,1
2.87003432003432,7.0,1
2.367211660840469,20.5,1
1.7759481961147086,24.5,1
2.8175542406311647,4.5,0
2.0548785497165705,2.5,1
2.259058212829069,14.5,1
2.4563453923340126,11.0,1
2.23148256587703,15.166666666666664,0
2.184614201683903,22.166666666666664,1
3.025148099350998,15.833333333333336,0
2.943981674302374,5.166666666666668,0
2.477721186494971,20.833333333333336,0
2.3982570239334025,6.5,1
1.9401407329576208,13.7,0
1.8245508222319815,2.0,1
2.4549019607843143,4.166666666666667,1
1.9582673885880884,10.5,1
2.1791983030490334,8.0,1
2.4625174133824648,8.5,1
1.682620051319648,8.5,1
1.5286119452786124,8.0,1
2.014356692621431,10.75,1
3.48360144057623,4.5,1
2.572618339423812,7.5,1
2.956627048565152,-5.0,1
2.419953173777316,6.5,0
2.630261834855005,15.92857142857143,1
2.070308274743104,7.166666666666666,1
2.3457788347205706,11.5,0
2.4658503401360545,8.5,1
2.8955463728191,4.0,1
2.0732985574355247,4.5,0
2.5000610945834185,3.0,1
2.055958383353342,11.0,1
1.8275522337353491,4.0,1
1.8255653845010849,12.681818181818182,1
2.49201881630484,13.125,1
1.9875073023861956,7.5,1
2.5033485866819203,7.25,1
2.407614515169542,7.833333333333334,0
2.3285459335429595,0.0,1
1.4245511514359308,5.0,0
2.872542550769598,2.5,1
2.1032218187437226,15.3,1
2.26489573163451,32.5,0
2.206856856856857,12.0,1
2.9002743959821298,10.0,1
3.1715771627565985,3.0,0
3.8344827586206898,6.0,1
2.8518111673618405,5.0,1
2.1193184430186047,13.166666666666664,1
3.094621578099839,14.25,1
1.993419408579758,9.0,1
2.627050414875264,10.9,1
2.2092950092950097,12.0,1
2.341801125703564,4.5,1
2.8491225256598245,5.5,1
2.3812651497380566,15.5,1
2.6866178005373444,4.5,0
1.9480492023832403,7.0,1
1.696892490267362,19.166666666666664,0
2.396742118768329,23.5,0
2.64645835496038,10.0,1
2.660239772586825,9.0,1
2.7170136823319453,9.166666666666668,1
3.004743440864448,2.5,1
2.55119021134594,4.5,1
2.397163025210084,4.0,0
1.7934694538972615,5.166666666666667,0
2.345343606830488,15.166666666666664,1
1.8366060737019327,8.1,1
2.066202090592335,12.166666666666666,1
3.7504606120523074,6.0,1
1.930536280681208,8.166666666666668,1
2.71937575030012,8.0,1
2.05107905231058,6.833333333333332,1
2.4923944761625925,8.5,1
1.7370782697374014,26.5,1
2.754807692307693,3.0,0
1.7791065058603708,17.0,1
2.6602439024390248,8.5,1
2.121116322701689,15.5,0
2.3100346020761253,4.0,1
4.016793438416422,1.0,0
2.399286987522281,22.0,1
2.23548619447779,6.75,1
2.0386709420013034,5.833333333333332,1
1.87396694214876,21.5,1
2.1689137323597145,17.214285714285715,1
1.710182926829268,12.75,1
2.8189446529080677,5.5,1
1.7078269324258628,17.833333333333332,1
2.187228137855021,4.0,1
2.358597112174717,15.0,1
2.059254438755824,10.166666666666668,1
2.919654659330773,5.5,1
2.4363632388103658,10.166666666666668,1
1.971504425798054,5.5,0
2.0815556711758587,11.5,1
