id,leniency,linearity,line_distance
1,1.5,2.220446049250313e-16,1.0
10,1.5,1.28,1.6
11,1.5,2.220446049250313e-16,1.0
12,2.5,1.25,1.25
13,1.5,1.25,1.25
14,1.5,1.5,1.5
15,3.5,4.0,4.0
16,1.5,1.6,2.8
17,1.5,1.0,1.0
18,3.5,2.220446049250313e-16,1.0
19,1.5,2.220446049250313e-16,1.0
2,1.5,1.36734693877551,2.2857142857142856
20,-1.0,2.6666666666666665,2.6666666666666665
21,2.5,0.68,1.4
22,1.5,1.1904761904761902,5.333333333333333
23,3.5,0.44444444444444464,4.666666666666667
24,1.5,2.220446049250313e-16,1.0
25,2.5,1.607142857142857,1.5
3,1.5,1.8285714285714285,1.6666666666666667
4,2.5,2.220446049250313e-16,1.0
5,2.5,1.8327272727272728,2.3
6,3.5,1.3599999999999999,2.2
7,1.5,0.7500000000000001,0.75
8,5.5,3.673469387755102,4.285714285714286
9,1.5,2.220446049250313e-16,1.0
