time,leniency,linearity,line_distance,structures_used,structures_count,backtrackings,level_length
0.12102818489074707,6.0,2.4432967354706485,2.4,34,35,0,149
0.11101961135864258,17.5,1.961474149529118,2.477272727272727,34,35,0,125
0.12410354614257812,15.3,2.072780168657576,2.652173913043478,34,35,0,127
0.2116410732269287,13.5,2.007922850540481,2.0930232558139537,36,35,2,121
0.11011338233947754,14.166666666666668,2.429665203613675,3.276595744680851,34,35,0,108
0.12911105155944824,6.5,2.262158701940364,2.5689655172413794,34,35,0,135
0.11797809600830078,12.25,2.400115014924556,2.660377358490566,34,35,0,129
0.1254405975341797,27.833333333333336,1.9403504608203783,2.2641509433962264,34,35,0,139
0.11212992668151855,5.125,2.0992795901205876,1.9672131147540983,34,35,0,155
0.12744379043579102,12.5,1.7726846995155716,2.1379310344827585,34,35,0,146
