name,result,reached,length,time
level_1,1,201,202,28
level_2,0,112,202,36
level_3,1,201,202,40
level_4,0,130,202,22
level_5,1,201,202,25
level_6,1,201,202,36
level_7,1,201,202,35
level_8,1,201,202,43
level_9,1,201,202,33
level_10,1,201,202,20
level_11,0,165,202,44
level_12,1,201,202,20
level_13,1,201,202,25
level_14,1,201,202,20
level_15,0,177,202,20
level_16,1,201,202,31
level_17,1,201,202,33
level_18,1,201,202,34
level_19,1,201,202,21
level_20,1,201,202,45
level_21,1,201,202,24
level_22,1,201,202,28
level_23,0,198,202,23
level_24,0,120,202,32
level_25,0,144,202,20
level_26,1,201,202,30
level_27,1,201,202,33
level_28,1,201,202,30
level_29,1,201,202,33
level_30,1,201,202,32
level_31,0,167,202,44
level_32,1,201,202,24
level_33,1,201,202,23
level_34,1,201,202,26
level_35,1,201,202,39
level_36,1,201,202,28
level_37,1,201,202,41
level_38,1,201,202,41
level_39,1,201,202,40
level_40,1,201,202,25
level_41,0,116,202,27
level_42,1,201,202,27
level_43,1,201,202,31
level_44,0,138,202,45
level_45,1,201,202,26
level_46,0,154,202,39
level_47,1,201,202,20
level_48,1,201,202,21
level_49,1,201,202,32
level_50,1,201,202,22
level_51,1,201,202,30
level_52,0,176,202,20
level_53,1,201,202,20
level_54,0,196,202,35
level_55,1,201,202,38
level_56,1,201,202,28
level_57,1,201,202,36
level_58,1,201,202,45
level_59,1,201,202,35
level_60,1,201,202,38
level_61,0,190,202,43
level_62,0,136,202,28
level_63,1,201,202,22
level_64,1,201,202,36
level_65,1,201,202,32
level_66,1,201,202,45
level_67,1,201,202,21
level_68,1,201,202,45
level_69,1,201,202,29
level_70,1,201,202,43
level_71,1,201,202,25
level_72,1,201,202,40
level_73,0,116,202,21
level_74,1,201,202,34
level_75,0,190,202,34
level_76,1,201,202,32
level_77,0,135,202,25
level_78,1,201,202,20
level_79,1,201,202,35
level_80,1,201,202,37
level_81,1,201,202,28
level_82,1,201,202,42
level_83,1,201,202,26
level_84,1,201,202,24
level_85,1,201,202,41
level_86,1,201,202,24
level_87,1,201,202,30
level_88,1,201,202,36
level_89,0,188,202,29
level_90,1,201,202,30
level_91,1,201,202,45
level_92,1,201,202,20
level_93,0,114,202,27
level_94,1,201,202,41
level_95,1,201,202,40
level_96,1,201,202,30
level_97,0,116,202,20
level_98,1,201,202,45
level_99,0,129,202,39
level_100,0,180,202,27
level_101,1,201,202,33
level_102,1,201,202,22
level_103,1,201,202,27
level_104,1,201,202,36
level_105,0,165,202,24
level_106,1,201,202,26
level_107,1,201,202,20
level_108,1,201,202,40
level_109,1,201,202,30
level_110,0,159,202,24
level_111,1,201,202,25
level_112,1,201,202,23
level_113,0,141,202,24
level_114,1,201,202,43
level_115,1,201,202,44
level_116,1,201,202,43
level_117,1,201,202,44
level_118,1,201,202,33
level_119,1,201,202,26
level_120,1,201,202,22
level_121,0,129,202,35
level_122,1,201,202,40
level_123,1,201,202,23
level_124,1,201,202,21
level_125,1,201,202,28
level_126,1,201,202,25
level_127,1,201,202,45
level_128,0,153,202,23
level_129,1,201,202,25
level_130,1,201,202,39
level_131,1,201,202,40
level_132,1,201,202,24
level_133,1,201,202,20
level_134,0,180,202,44
level_135,1,201,202,25
level_136,0,125,202,35
level_137,1,201,202,35
level_138,0,150,202,21
level_139,1,201,202,24
level_140,1,201,202,21
level_141,1,201,202,29
level_142,0,163,202,33
level_143,1,201,202,31
level_144,1,201,202,45
level_145,0,103,202,32
level_146,0,142,202,30
level_147,1,201,202,27
level_148,0,128,202,39
level_149,0,170,202,39
level_150,1,201,202,27
level_151,0,133,202,20
level_152,1,201,202,25
level_153,1,201,202,36
level_154,1,201,202,34
level_155,1,201,202,24
level_156,1,201,202,29
level_157,1,201,202,40
level_158,1,201,202,41
level_159,1,201,202,23
level_160,1,201,202,20
level_161,1,201,202,29
level_162,1,201,202,23
level_163,0,190,202,35
level_164,1,201,202,39
level_165,1,201,202,43
level_166,0,112,202,32
level_167,1,201,202,29
level_168,1,201,202,30
level_169,1,201,202,27
level_170,1,201,202,43
level_171,1,201,202,25
level_172,1,201,202,41
level_173,1,201,202,24
level_174,0,161,202,31
level_175,1,201,202,33
level_176,1,201,202,38
level_177,0,104,202,33
level_178,0,182,202,41
level_179,1,201,202,42
level_180,1,201,202,23
level_181,1,201,202,36
level_182,1,201,202,20
level_183,0,146,202,28
level_184,0,114,202,24
level_185,0,150,202,42
level_186,1,201,202,24
level_187,1,201,202,40
level_188,1,201,202,43
level_189,1,201,202,41
level_190,1,201,202,35
level_191,0,171,202,24
level_192,1,201,202,24
level_193,1,201,202,43
level_194,1,201,202,45
level_195,0,136,202,23
level_196,1,201,202,25
level_197,1,201,202,43
level_198,1,201,202,28
level_199,1,201,202,28
level_200,1,201,202,31
level_201,1,201,202,45
level_202,0,125,202,33
level_203,1,201,202,31
level_204,1,201,202,32
level_205,1,201,202,38
level_206,1,201,202,26
level_207,1,201,202,38
level_208,0,178,202,27
level_209,1,201,202,28
level_210,1,201,202,38
level_211,1,201,202,38
level_212,1,201,202,36
level_213,1,201,202,41
level_214,1,201,202,20
level_215,1,201,202,25
level_216,1,201,202,35
level_217,1,201,202,36
level_218,1,201,202,26
level_219,0,139,202,27
level_220,1,201,202,23
level_221,1,201,202,21
level_222,1,201,202,39
level_223,1,201,202,23
level_224,1,201,202,26
level_225,1,201,202,28
level_226,1,201,202,26
level_227,1,201,202,38
level_228,1,201,202,27
level_229,1,201,202,20
level_230,1,201,202,29
level_231,0,149,202,29
level_232,0,178,202,38
level_233,1,201,202,41
level_234,1,201,202,40
level_235,0,140,202,42
level_236,1,201,202,28
level_237,1,201,202,42
level_238,1,201,202,32
level_239,0,186,202,31
level_240,0,128,202,26
level_241,1,201,202,33
level_242,1,201,202,45
level_243,0,196,202,31
level_244,1,201,202,40
level_245,0,199,202,38
level_246,0,135,202,37
level_247,1,201,202,23
level_248,1,201,202,30
level_249,1,201,202,26
level_250,1,201,202,25
level_251,0,118,202,25
level_252,0,173,202,30
level_253,1,201,202,32
level_254,1,201,202,45
level_255,1,201,202,42
level_256,1,201,202,24
level_257,1,201,202,22
level_258,1,201,202,32
level_259,0,177,202,37
level_260,1,201,202,20
level_261,0,183,202,27
level_262,1,201,202,25
level_263,1,201,202,30
level_264,1,201,202,23
level_265,1,201,202,37
level_266,1,201,202,32
level_267,1,201,202,29
level_268,1,201,202,43
level_269,0,188,202,34
level_270,1,201,202,43
