name,result,reached,length,time
level_1,0,113,202,40
level_2,1,201,202,30
level_3,1,201,202,25
level_4,1,201,202,20
level_5,1,201,202,27
level_6,1,201,202,36
level_7,1,201,202,29
level_8,0,101,202,44
level_9,1,201,202,42
level_10,1,201,202,39
level_11,0,163,202,41
level_12,1,201,202,38
level_13,1,201,202,24
level_14,1,201,202,24
level_15,1,201,202,38
level_16,1,201,202,22
level_17,1,201,202,43
level_18,1,201,202,42
level_19,1,201,202,24
level_20,1,201,202,23
level_21,0,134,202,44
level_22,1,201,202,33
level_23,1,201,202,30
level_24,1,201,202,30
level_25,1,201,202,28
level_26,1,201,202,26
level_27,1,201,202,40
level_28,0,151,202,30
level_29,1,201,202,27
level_30,1,201,202,35
level_31,1,201,202,32
level_32,1,201,202,22
level_33,1,201,202,22
level_34,1,201,202,25
level_35,1,201,202,22
level_36,1,201,202,31
level_37,1,201,202,38
level_38,1,201,202,28
level_39,1,201,202,35
level_40,1,201,202,45
level_41,1,201,202,31
level_42,1,201,202,28
level_43,1,201,202,20
level_44,1,201,202,21
level_45,1,201,202,41
level_46,0,106,202,26
level_47,1,201,202,21
level_48,1,201,202,36
level_49,1,201,202,25
level_50,1,201,202,27
level_51,1,201,202,28
level_52,1,201,202,28
level_53,1,201,202,32
level_54,1,201,202,27
level_55,1,201,202,28
level_56,1,201,202,33
level_57,1,201,202,44
level_58,1,201,202,36
level_59,0,123,202,24
level_60,1,201,202,24
level_61,1,201,202,44
level_62,0,157,202,44
level_63,1,201,202,29
level_64,1,201,202,25
level_65,0,101,202,33
level_66,1,201,202,23
level_67,0,191,202,37
level_68,1,201,202,24
level_69,0,164,202,45
level_70,0,179,202,41
level_71,1,201,202,27
level_72,1,201,202,20
level_73,1,201,202,30
level_74,1,201,202,32
level_75,1,201,202,35
level_76,1,201,202,33
level_77,1,201,202,40
level_78,1,201,202,44
level_79,1,201,202,23
level_80,1,201,202,33
level_81,0,150,202,38
level_82,1,201,202,33
level_83,1,201,202,30
level_84,1,201,202,27
level_85,1,201,202,26
level_86,1,201,202,21
level_87,1,201,202,37
level_88,1,201,202,26
level_89,1,201,202,43
level_90,1,201,202,28
level_91,1,201,202,33
level_92,1,201,202,26
level_93,1,201,202,21
level_94,1,201,202,32
level_95,0,101,202,39
level_96,0,103,202,30
level_97,0,109,202,42
level_98,1,201,202,20
level_99,1,201,202,23
level_100,1,201,202,43
level_101,1,201,202,33
level_102,1,201,202,28
level_103,1,201,202,25
level_104,0,175,202,35
level_105,1,201,202,44
level_106,1,201,202,39
level_107,1,201,202,31
level_108,0,173,202,20
level_109,1,201,202,33
level_110,1,201,202,44
level_111,1,201,202,40
level_112,1,201,202,36
level_113,1,201,202,24
level_114,1,201,202,24
level_115,1,201,202,42
level_116,0,140,202,35
level_117,1,201,202,43
level_118,1,201,202,31
level_119,1,201,202,27
level_120,1,201,202,45
level_121,1,201,202,38
level_122,1,201,202,24
level_123,1,201,202,34
level_124,1,201,202,43
level_125,1,201,202,28
level_126,1,201,202,38
level_127,1,201,202,25
level_128,1,201,202,35
level_129,1,201,202,35
level_130,1,201,202,35
