name,result,reached,length,time
level_1,1,201,202,35
level_2,1,201,202,27
level_3,1,201,202,26
level_4,1,201,202,33
level_5,1,201,202,43
level_6,1,201,202,20
level_7,1,201,202,43
level_8,1,201,202,30
level_9,1,201,202,41
level_10,1,201,202,38
level_11,1,201,202,21
level_12,1,201,202,25
level_13,1,201,202,29
level_14,1,201,202,32
level_15,1,201,202,28
level_16,1,201,202,36
level_17,1,201,202,42
level_18,1,201,202,29
level_19,1,201,202,32
level_20,1,201,202,22
level_21,1,201,202,31
level_22,1,201,202,22
level_23,1,201,202,35
level_24,1,201,202,42
level_25,1,201,202,32
level_26,1,201,202,45
level_27,1,201,202,29
level_28,1,201,202,22
level_29,1,201,202,26
level_30,1,201,202,40
level_31,1,201,202,38
level_32,1,201,202,34
level_33,1,201,202,36
level_34,1,201,202,23
level_35,1,201,202,42
level_36,1,201,202,30
level_37,1,201,202,34
level_38,1,201,202,32
level_39,0,151,202,39
level_40,1,201,202,40
level_41,0,194,202,44
level_42,1,201,202,25
level_43,1,201,202,34
level_44,1,201,202,27
level_45,1,201,202,44
level_46,1,201,202,28
level_47,0,163,202,33
level_48,1,201,202,38
level_49,1,201,202,30
level_50,1,201,202,21
level_51,1,201,202,22
level_52,1,201,202,41
level_53,0,116,202,28
level_54,1,201,202,28
level_55,1,201,202,34
level_56,0,123,202,39
level_57,1,201,202,41
level_58,0,188,202,39
level_59,0,160,202,22
level_60,0,106,202,35
level_61,1,201,202,43
level_62,0,123,202,24
level_63,0,161,202,20
level_64,1,201,202,33
level_65,1,201,202,33
level_66,1,201,202,27
level_67,1,201,202,29
level_68,0,102,202,39
level_69,1,201,202,43
level_70,1,201,202,38
level_71,1,201,202,40
level_72,1,201,202,26
level_73,1,201,202,26
level_74,0,136,202,41
level_75,0,120,202,35
level_76,1,201,202,45
level_77,1,201,202,26
level_78,1,201,202,43
level_79,1,201,202,25
level_80,0,170,202,34
level_81,1,201,202,27
level_82,1,201,202,35
level_83,1,201,202,28
level_84,1,201,202,29
level_85,1,201,202,26
level_86,1,201,202,40
level_87,1,201,202,21
level_88,1,201,202,36
level_89,1,201,202,26
level_90,1,201,202,39
level_91,1,201,202,27
level_92,1,201,202,26
level_93,1,201,202,27
level_94,1,201,202,42
level_95,1,201,202,28
level_96,1,201,202,43
level_97,1,201,202,21
level_98,0,158,202,31
level_99,1,201,202,23
level_100,1,201,202,45
level_101,1,201,202,42
level_102,1,201,202,31
level_103,1,201,202,30
level_104,0,179,202,32
level_105,1,201,202,31
level_106,1,201,202,38
level_107,0,142,202,42
level_108,1,201,202,43
level_109,0,192,202,26
level_110,1,201,202,43
level_111,1,201,202,45
level_112,1,201,202,35
level_113,1,201,202,45
level_114,1,201,202,30
level_115,1,201,202,26
level_116,0,186,202,26
level_117,1,201,202,21
level_118,1,201,202,37
level_119,0,153,202,39
level_120,1,201,202,25
level_121,1,201,202,37
level_122,1,201,202,32
level_123,1,201,202,30
level_124,0,147,202,37
level_125,1,201,202,36
level_126,1,201,202,34
level_127,1,201,202,41
level_128,1,201,202,41
level_129,1,201,202,33
level_130,1,201,202,22
level_131,1,201,202,44
level_132,1,201,202,34
level_133,0,127,202,40
level_134,1,201,202,31
level_135,0,184,202,44
level_136,1,201,202,21
level_137,1,201,202,30
level_138,1,201,202,33
level_139,1,201,202,45
level_140,1,201,202,41
level_141,0,131,202,45
level_142,0,154,202,22
level_143,1,201,202,28
level_144,1,201,202,20
level_145,1,201,202,33
level_146,1,201,202,36
level_147,1,201,202,28
level_148,1,201,202,41
level_149,1,201,202,26
level_150,1,201,202,42
level_151,1,201,202,40
level_152,0,185,202,30
level_153,1,201,202,43
level_154,1,201,202,44
level_155,1,201,202,36
level_156,1,201,202,43
level_157,0,170,202,43
level_158,1,201,202,41
level_159,0,179,202,20
level_160,1,201,202,44
level_161,1,201,202,25
level_162,1,201,202,32
level_163,1,201,202,45
level_164,0,138,202,28
level_165,1,201,202,42
level_166,1,201,202,43
level_167,1,201,202,33
level_168,1,201,202,38
level_169,0,124,202,33
level_170,1,201,202,41
level_171,1,201,202,23
level_172,0,154,202,29
level_173,1,201,202,31
level_174,1,201,202,30
level_175,1,201,202,45
level_176,1,201,202,43
level_177,1,201,202,33
level_178,1,201,202,41
level_179,1,201,202,29
level_180,1,201,202,32
level_181,1,201,202,31
level_182,1,201,202,23
level_183,0,145,202,20
level_184,1,201,202,35
level_185,0,105,202,35
level_186,0,185,202,30
level_187,0,172,202,39
level_188,1,201,202,28
level_189,1,201,202,29
level_190,1,201,202,29
level_191,1,201,202,23
level_192,1,201,202,39
level_193,1,201,202,40
level_194,1,201,202,31
level_195,1,201,202,39
level_196,0,100,202,43
level_197,0,189,202,25
level_198,1,201,202,44
level_199,1,201,202,37
level_200,1,201,202,38
level_201,1,201,202,26
level_202,0,121,202,31
level_203,1,201,202,34
level_204,1,201,202,21
level_205,1,201,202,23
level_206,1,201,202,23
level_207,1,201,202,22
level_208,0,141,202,33
level_209,1,201,202,35
level_210,1,201,202,21
level_211,0,159,202,39
level_212,1,201,202,22
level_213,0,133,202,21
level_214,0,128,202,43
level_215,0,102,202,33
level_216,0,122,202,42
level_217,1,201,202,21
level_218,1,201,202,43
level_219,0,153,202,28
level_220,1,201,202,23
level_221,1,201,202,45
level_222,1,201,202,33
level_223,1,201,202,23
level_224,0,118,202,29
level_225,1,201,202,31
level_226,1,201,202,21
level_227,1,201,202,36
level_228,1,201,202,35
level_229,1,201,202,23
level_230,1,201,202,24
