name,result,reached,length,time
level_1,1,201,202,24
level_2,1,201,202,37
level_3,1,201,202,31
level_4,1,201,202,39
level_5,1,201,202,23
level_6,1,201,202,23
level_7,1,201,202,31
level_8,0,154,202,25
level_9,1,201,202,35
level_10,1,201,202,42
level_11,1,201,202,36
level_12,1,201,202,45
level_13,1,201,202,20
level_14,1,201,202,27
level_15,1,201,202,32
level_16,0,174,202,25
level_17,1,201,202,38
level_18,1,201,202,33
level_19,0,149,202,23
level_20,0,151,202,20
level_21,1,201,202,45
level_22,1,201,202,31
level_23,1,201,202,40
level_24,1,201,202,26
level_25,0,109,202,28
level_26,1,201,202,43
level_27,0,176,202,32
level_28,1,201,202,45
level_29,0,172,202,20
level_30,1,201,202,41
level_31,1,201,202,25
level_32,1,201,202,37
level_33,1,201,202,42
level_34,1,201,202,22
level_35,1,201,202,27
level_36,1,201,202,45
level_37,1,201,202,27
level_38,1,201,202,42
level_39,1,201,202,28
level_40,1,201,202,32
level_41,1,201,202,31
level_42,1,201,202,25
level_43,1,201,202,37
level_44,1,201,202,37
level_45,1,201,202,27
level_46,1,201,202,27
level_47,1,201,202,31
level_48,1,201,202,24
level_49,1,201,202,40
level_50,1,201,202,30
level_51,1,201,202,36
level_52,1,201,202,39
level_53,1,201,202,40
level_54,1,201,202,45
level_55,1,201,202,20
level_56,1,201,202,39
level_57,1,201,202,33
level_58,1,201,202,34
level_59,1,201,202,41
level_60,1,201,202,33
level_61,1,201,202,43
level_62,1,201,202,33
level_63,1,201,202,43
level_64,1,201,202,45
level_65,1,201,202,43
level_66,0,195,202,25
level_67,1,201,202,21
level_68,1,201,202,35
level_69,1,201,202,31
level_70,1,201,202,32
level_71,1,201,202,22
level_72,1,201,202,21
level_73,1,201,202,42
level_74,1,201,202,30
level_75,1,201,202,36
level_76,1,201,202,27
level_77,0,184,202,32
level_78,1,201,202,24
level_79,1,201,202,45
level_80,1,201,202,31
level_81,1,201,202,40
level_82,1,201,202,40
level_83,1,201,202,26
level_84,0,125,202,45
level_85,1,201,202,41
level_86,0,173,202,30
level_87,1,201,202,26
level_88,1,201,202,38
level_89,1,201,202,38
level_90,1,201,202,34
level_91,0,162,202,38
level_92,1,201,202,33
level_93,1,201,202,35
level_94,0,161,202,26
level_95,1,201,202,32
level_96,1,201,202,27
level_97,1,201,202,32
level_98,1,201,202,33
level_99,1,201,202,30
level_100,1,201,202,36
level_101,1,201,202,40
level_102,1,201,202,35
level_103,1,201,202,32
level_104,1,201,202,30
level_105,1,201,202,26
level_106,1,201,202,27
level_107,1,201,202,31
level_108,1,201,202,23
level_109,0,150,202,42
level_110,1,201,202,21
level_111,0,195,202,45
level_112,1,201,202,40
level_113,1,201,202,40
level_114,1,201,202,36
level_115,1,201,202,35
level_116,1,201,202,20
level_117,1,201,202,45
level_118,1,201,202,44
level_119,1,201,202,45
level_120,1,201,202,38
level_121,1,201,202,21
level_122,1,201,202,21
level_123,1,201,202,27
level_124,0,170,202,42
level_125,1,201,202,20
level_126,1,201,202,39
level_127,1,201,202,34
level_128,1,201,202,27
level_129,1,201,202,23
level_130,1,201,202,25
level_131,1,201,202,27
level_132,1,201,202,30
level_133,1,201,202,40
level_134,1,201,202,24
level_135,1,201,202,43
level_136,1,201,202,34
level_137,1,201,202,44
level_138,1,201,202,28
level_139,1,201,202,35
level_140,0,191,202,20
level_141,1,201,202,44
level_142,0,184,202,37
level_143,1,201,202,33
level_144,1,201,202,44
level_145,1,201,202,25
level_146,0,106,202,25
level_147,1,201,202,28
level_148,1,201,202,21
level_149,0,200,202,25
level_150,0,183,202,44
level_151,1,201,202,25
level_152,1,201,202,27
level_153,1,201,202,40
level_154,1,201,202,40
level_155,1,201,202,41
level_156,1,201,202,25
level_157,1,201,202,34
level_158,1,201,202,32
level_159,0,176,202,31
level_160,1,201,202,28
level_161,0,122,202,29
level_162,0,118,202,23
level_163,1,201,202,45
level_164,1,201,202,27
level_165,0,175,202,33
level_166,0,104,202,24
level_167,0,126,202,23
level_168,1,201,202,21
level_169,0,193,202,41
level_170,1,201,202,41
level_171,1,201,202,38
level_172,0,100,202,37
level_173,1,201,202,39
level_174,1,201,202,40
level_175,1,201,202,26
level_176,1,201,202,28
level_177,1,201,202,34
level_178,1,201,202,33
level_179,1,201,202,33
level_180,1,201,202,45
level_181,1,201,202,39
level_182,1,201,202,44
level_183,1,201,202,25
level_184,1,201,202,22
level_185,1,201,202,41
level_186,1,201,202,24
level_187,0,197,202,25
level_188,1,201,202,27
level_189,1,201,202,33
level_190,1,201,202,40
level_191,1,201,202,31
level_192,1,201,202,30
level_193,1,201,202,29
level_194,1,201,202,25
level_195,1,201,202,36
level_196,1,201,202,28
level_197,1,201,202,23
level_198,1,201,202,44
level_199,0,190,202,26
level_200,1,201,202,33
level_201,1,201,202,31
level_202,1,201,202,24
level_203,1,201,202,23
level_204,0,120,202,43
level_205,1,201,202,40
level_206,1,201,202,28
level_207,1,201,202,29
level_208,1,201,202,43
level_209,1,201,202,41
level_210,1,201,202,21
level_211,1,201,202,20
level_212,0,118,202,25
level_213,1,201,202,21
level_214,1,201,202,29
level_215,1,201,202,21
level_216,1,201,202,21
level_217,0,180,202,30
level_218,1,201,202,38
level_219,1,201,202,31
level_220,1,201,202,40
level_221,0,184,202,21
level_222,1,201,202,40
level_223,1,201,202,32
level_224,0,127,202,44
level_225,1,201,202,28
level_226,1,201,202,44
level_227,1,201,202,38
level_228,1,201,202,27
level_229,1,201,202,38
level_230,1,201,202,44
level_231,1,201,202,28
level_232,1,201,202,23
level_233,1,201,202,31
level_234,1,201,202,34
level_235,0,163,202,45
level_236,1,201,202,27
level_237,1,201,202,20
level_238,1,201,202,31
level_239,1,201,202,31
level_240,1,201,202,27
level_241,1,201,202,25
level_242,1,201,202,30
level_243,1,201,202,40
level_244,1,201,202,25
level_245,1,201,202,31
level_246,1,201,202,35
level_247,1,201,202,27
level_248,1,201,202,28
level_249,0,193,202,24
level_250,1,201,202,28
level_251,1,201,202,24
level_252,1,201,202,36
level_253,1,201,202,32
level_254,1,201,202,34
level_255,1,201,202,31
level_256,1,201,202,39
level_257,1,201,202,30
level_258,1,201,202,24
level_259,1,201,202,38
level_260,1,201,202,23
level_261,0,111,202,42
level_262,0,125,202,45
level_263,1,201,202,23
level_264,1,201,202,45
level_265,1,201,202,20
level_266,1,201,202,45
level_267,1,201,202,34
level_268,1,201,202,28
level_269,1,201,202,21
level_270,1,201,202,43
level_271,1,201,202,27
level_272,1,201,202,26
level_273,0,174,202,21
level_274,0,161,202,33
level_275,1,201,202,20
level_276,1,201,202,31
level_277,1,201,202,30
level_278,1,201,202,24
level_279,1,201,202,31
level_280,1,201,202,39
level_281,1,201,202,32
level_282,1,201,202,20
level_283,1,201,202,25
level_284,1,201,202,29
level_285,1,201,202,44
level_286,1,201,202,42
level_287,0,124,202,21
level_288,1,201,202,32
level_289,0,153,202,31
level_290,1,201,202,24
level_291,1,201,202,21
level_292,1,201,202,40
level_293,0,125,202,27
level_294,1,201,202,44
level_295,1,201,202,36
level_296,1,201,202,32
level_297,1,201,202,36
level_298,1,201,202,21
level_299,1,201,202,44
level_300,1,201,202,28
level_301,1,201,202,41
level_302,1,201,202,27
