name,result,reached,length,time
level_1,1,201,202,36
level_2,1,201,202,39
level_3,1,201,202,41
level_4,1,201,202,25
level_5,1,201,202,21
level_6,1,201,202,37
level_7,1,201,202,29
level_8,1,201,202,36
level_9,0,110,202,42
level_10,1,201,202,43
level_11,1,201,202,35
level_12,1,201,202,37
level_13,0,161,202,23
level_14,1,201,202,37
level_15,1,201,202,27
level_16,1,201,202,37
level_17,0,158,202,21
level_18,1,201,202,30
level_19,1,201,202,37
level_20,1,201,202,24
level_21,1,201,202,45
level_22,1,201,202,26
level_23,1,201,202,39
level_24,1,201,202,23
level_25,1,201,202,20
level_26,1,201,202,37
level_27,0,109,202,26
level_28,1,201,202,39
level_29,1,201,202,38
level_30,1,201,202,26
level_31,1,201,202,43
level_32,1,201,202,45
level_33,1,201,202,31
level_34,1,201,202,32
level_35,0,147,202,22
level_36,1,201,202,37
level_37,0,194,202,28
level_38,1,201,202,30
level_39,0,119,202,21
level_40,1,201,202,28
level_41,1,201,202,23
level_42,1,201,202,25
level_43,1,201,202,45
level_44,1,201,202,23
level_45,1,201,202,34
level_46,1,201,202,21
level_47,1,201,202,40
level_48,0,152,202,29
level_49,1,201,202,33
level_50,0,154,202,35
level_51,1,201,202,41
level_52,0,154,202,42
level_53,1,201,202,41
level_54,0,161,202,36
level_55,1,201,202,30
level_56,1,201,202,29
level_57,0,198,202,39
level_58,0,116,202,21
level_59,1,201,202,30
level_60,0,105,202,42
level_61,1,201,202,26
level_62,1,201,202,20
level_63,0,177,202,32
level_64,1,201,202,24
level_65,1,201,202,40
level_66,1,201,202,25
level_67,1,201,202,42
level_68,1,201,202,21
level_69,1,201,202,34
level_70,1,201,202,30
level_71,1,201,202,28
level_72,1,201,202,41
level_73,1,201,202,21
level_74,1,201,202,24
level_75,1,201,202,27
level_76,1,201,202,35
level_77,0,170,202,31
level_78,1,201,202,21
level_79,1,201,202,30
level_80,1,201,202,41
level_81,1,201,202,26
level_82,1,201,202,21
level_83,1,201,202,31
level_84,1,201,202,43
level_85,1,201,202,42
level_86,1,201,202,38
level_87,1,201,202,29
level_88,1,201,202,34
level_89,1,201,202,37
level_90,1,201,202,38
level_91,1,201,202,45
level_92,1,201,202,32
level_93,1,201,202,24
level_94,1,201,202,22
level_95,1,201,202,42
level_96,1,201,202,35
level_97,1,201,202,37
level_98,1,201,202,45
level_99,1,201,202,22
level_100,1,201,202,21
level_101,0,185,202,22
level_102,1,201,202,43
level_103,0,160,202,21
level_104,1,201,202,35
level_105,1,201,202,22
level_106,1,201,202,25
level_107,1,201,202,44
level_108,1,201,202,29
level_109,1,201,202,32
level_110,1,201,202,45
level_111,1,201,202,31
level_112,1,201,202,41
level_113,1,201,202,22
level_114,0,122,202,45
level_115,1,201,202,25
level_116,1,201,202,37
level_117,1,201,202,20
level_118,1,201,202,41
level_119,1,201,202,36
level_120,1,201,202,43
level_121,1,201,202,34
level_122,1,201,202,20
level_123,0,118,202,32
level_124,1,201,202,28
level_125,1,201,202,30
level_126,1,201,202,25
level_127,1,201,202,44
level_128,1,201,202,25
level_129,1,201,202,22
level_130,1,201,202,24
level_131,1,201,202,23
level_132,0,195,202,31
level_133,1,201,202,27
level_134,1,201,202,35
level_135,0,179,202,30
level_136,1,201,202,44
level_137,1,201,202,21
level_138,1,201,202,32
level_139,1,201,202,34
level_140,1,201,202,41
level_141,1,201,202,30
level_142,1,201,202,24
level_143,1,201,202,25
level_144,1,201,202,29
level_145,1,201,202,34
level_146,1,201,202,43
level_147,1,201,202,21
level_148,1,201,202,44
level_149,1,201,202,44
level_150,1,201,202,27
level_151,1,201,202,44
level_152,0,116,202,41
level_153,0,181,202,33
level_154,1,201,202,30
level_155,1,201,202,21
level_156,1,201,202,40
level_157,1,201,202,23
level_158,1,201,202,26
level_159,1,201,202,41
level_160,1,201,202,37
level_161,1,201,202,38
level_162,0,124,202,26
level_163,1,201,202,36
level_164,1,201,202,41
level_165,1,201,202,43
level_166,0,151,202,38
level_167,1,201,202,33
level_168,1,201,202,40
level_169,1,201,202,25
level_170,0,151,202,37
level_171,1,201,202,26
level_172,0,181,202,32
level_173,1,201,202,37
level_174,0,159,202,22
level_175,1,201,202,31
level_176,1,201,202,26
level_177,1,201,202,30
level_178,1,201,202,26
level_179,1,201,202,33
level_180,1,201,202,28
level_181,1,201,202,21
level_182,1,201,202,21
level_183,1,201,202,30
level_184,1,201,202,45
level_185,1,201,202,29
level_186,1,201,202,42
level_187,1,201,202,32
level_188,1,201,202,39
level_189,0,135,202,44
level_190,1,201,202,35
