level,result,block_reached,total_length,time
level_0.txt,1,83,83,15
level_1.txt,0,77,83,45
level_2.txt,1,103,103,16
level_3.txt,1,113,113,17
level_4.txt,1,89,89,14
level_5.txt,0,64,109,7
level_6.txt,1,112,112,16
level_7.txt,1,107,107,16
level_8.txt,1,96,96,15
level_9.txt,0,69,88,13
level_10.txt,0,102,112,45
level_11.txt,1,116,116,17
level_12.txt,0,21,95,45
level_13.txt,1,106,106,18
level_14.txt,1,102,102,16
level_15.txt,1,101,101,15
level_16.txt,1,102,102,16
level_17.txt,1,102,102,16
level_18.txt,0,28,95,45
level_19.txt,0,61,92,45
level_20.txt,1,95,95,16
level_21.txt,0,20,113,45
level_22.txt,0,125,130,15
level_23.txt,1,112,112,17
level_24.txt,0,70,112,45
level_25.txt,1,103,103,17
level_26.txt,1,95,95,19
level_27.txt,1,79,79,13
level_28.txt,1,102,102,16
level_29.txt,1,122,122,17
level_30.txt,1,107,107,18
level_31.txt,1,81,81,17
level_32.txt,1,107,107,16
level_33.txt,0,57,103,9
level_34.txt,1,90,90,14
level_35.txt,0,26,118,4
level_36.txt,1,106,106,16
level_37.txt,1,93,93,15
level_38.txt,1,88,88,14
level_39.txt,1,98,98,15
level_40.txt,1,107,107,16
level_41.txt,1,96,96,16
level_42.txt,1,91,91,14
level_43.txt,0,40,108,45
level_44.txt,1,147,147,20
level_45.txt,1,112,112,17
level_46.txt,1,116,116,18
level_47.txt,1,103,103,15
level_48.txt,1,111,111,27
level_49.txt,0,81,94,45
level_50.txt,1,124,124,19
level_51.txt,0,60,93,7
level_52.txt,0,37,114,5
level_53.txt,1,97,97,17
level_54.txt,1,83,83,16
level_55.txt,0,72,128,8
level_56.txt,0,24,93,45
level_57.txt,0,61,84,7
level_58.txt,1,114,114,18
level_59.txt,0,37,132,36
level_60.txt,1,97,97,18
level_61.txt,1,107,107,17
level_62.txt,1,98,98,15
level_63.txt,0,89,105,45
level_64.txt,0,17,91,45
level_65.txt,1,94,94,15
level_66.txt,1,85,85,13
level_67.txt,0,91,107,10
level_68.txt,1,89,89,15
level_69.txt,1,131,131,20
level_70.txt,0,75,96,10
level_71.txt,0,75,95,45
level_72.txt,0,48,89,45
level_73.txt,0,60,90,45
level_74.txt,0,28,85,45
level_75.txt,0,58,87,45
level_76.txt,1,105,105,17
level_77.txt,1,110,110,16
level_78.txt,0,44,120,5
level_79.txt,1,116,116,18
level_80.txt,1,127,127,19
level_81.txt,0,33,83,4
level_82.txt,1,106,106,16
level_83.txt,0,6,86,45
level_84.txt,1,107,107,16
level_85.txt,1,90,90,15
level_86.txt,1,112,112,17
level_87.txt,1,106,106,17
level_88.txt,1,111,111,16
level_89.txt,1,102,102,17
level_90.txt,1,107,107,17
level_91.txt,1,98,98,16
level_92.txt,0,12,70,45
