name,result,reached,length,time
level_1,1,201,202,27
level_2,0,145,202,31
level_3,1,201,202,35
level_4,0,162,202,33
level_5,1,201,202,23
level_6,1,201,202,41
level_7,1,201,202,25
level_8,1,201,202,29
level_9,1,201,202,41
level_10,1,201,202,30
level_11,1,201,202,30
level_12,1,201,202,30
level_13,1,201,202,38
level_14,1,201,202,29
level_15,1,201,202,38
level_16,1,201,202,41
level_17,1,201,202,22
level_18,1,201,202,25
level_19,1,201,202,25
level_20,1,201,202,33
level_21,0,188,202,38
level_22,1,201,202,28
level_23,0,126,202,31
level_24,0,140,202,29
level_25,1,201,202,34
level_26,1,201,202,25
level_27,0,124,202,27
level_28,1,201,202,42
level_29,1,201,202,30
level_30,1,201,202,31
level_31,1,201,202,27
level_32,0,163,202,21
level_33,1,201,202,22
level_34,0,113,202,22
level_35,0,109,202,45
level_36,1,201,202,35
level_37,1,201,202,26
level_38,1,201,202,24
level_39,1,201,202,44
level_40,0,118,202,21
level_41,0,171,202,42
level_42,1,201,202,41
level_43,1,201,202,33
level_44,1,201,202,32
level_45,1,201,202,29
level_46,0,133,202,41
level_47,1,201,202,34
level_48,1,201,202,23
level_49,1,201,202,44
level_50,1,201,202,42
level_51,1,201,202,38
level_52,1,201,202,25
level_53,1,201,202,32
level_54,1,201,202,27
level_55,1,201,202,28
level_56,1,201,202,22
level_57,1,201,202,39
level_58,1,201,202,40
level_59,1,201,202,32
level_60,1,201,202,30
level_61,1,201,202,45
level_62,1,201,202,43
level_63,1,201,202,43
level_64,1,201,202,44
level_65,0,114,202,43
level_66,1,201,202,45
level_67,1,201,202,44
level_68,1,201,202,44
level_69,1,201,202,45
level_70,1,201,202,45
level_71,0,143,202,36
level_72,1,201,202,45
level_73,1,201,202,42
level_74,0,130,202,38
level_75,1,201,202,45
level_76,1,201,202,44
level_77,1,201,202,24
level_78,1,201,202,40
level_79,1,201,202,40
level_80,0,157,202,31
level_81,1,201,202,32
level_82,0,148,202,24
level_83,0,181,202,23
level_84,1,201,202,20
level_85,1,201,202,25
level_86,1,201,202,29
level_87,1,201,202,44
level_88,1,201,202,21
level_89,1,201,202,32
level_90,1,201,202,40
level_91,1,201,202,29
level_92,1,201,202,20
level_93,1,201,202,29
level_94,1,201,202,37
level_95,1,201,202,35
level_96,1,201,202,35
level_97,1,201,202,26
level_98,0,109,202,28
level_99,1,201,202,33
level_100,1,201,202,34
level_101,1,201,202,26
level_102,1,201,202,22
level_103,1,201,202,31
level_104,1,201,202,29
level_105,1,201,202,40
level_106,1,201,202,30
level_107,1,201,202,34
level_108,1,201,202,33
level_109,1,201,202,20
level_110,1,201,202,34
level_111,0,116,202,27
