name,result,reached,length,time
level_1,1,201,202,42
level_2,0,100,202,37
level_3,1,201,202,36
level_4,1,201,202,36
level_5,1,201,202,21
level_6,1,201,202,29
level_7,0,102,202,31
level_8,1,201,202,36
level_9,1,201,202,44
level_10,1,201,202,41
level_11,1,201,202,28
level_12,1,201,202,30
level_13,1,201,202,44
level_14,1,201,202,25
level_15,1,201,202,30
level_16,0,198,202,25
level_17,1,201,202,33
level_18,1,201,202,30
level_19,1,201,202,34
level_20,0,172,202,33
level_21,1,201,202,28
level_22,1,201,202,33
level_23,0,126,202,20
level_24,0,177,202,23
level_25,1,201,202,37
level_26,1,201,202,31
level_27,1,201,202,38
level_28,1,201,202,39
level_29,1,201,202,26
level_30,1,201,202,33
level_31,1,201,202,45
level_32,1,201,202,38
level_33,1,201,202,45
level_34,1,201,202,32
level_35,1,201,202,34
level_36,0,184,202,33
level_37,1,201,202,41
level_38,1,201,202,20
level_39,1,201,202,30
level_40,1,201,202,37
level_41,0,122,202,33
level_42,1,201,202,38
level_43,1,201,202,22
level_44,1,201,202,40
level_45,1,201,202,35
level_46,1,201,202,26
level_47,1,201,202,32
level_48,1,201,202,39
level_49,1,201,202,27
level_50,1,201,202,22
level_51,0,191,202,28
level_52,1,201,202,37
level_53,1,201,202,27
level_54,1,201,202,20
level_55,1,201,202,41
level_56,1,201,202,32
level_57,1,201,202,39
level_58,1,201,202,28
level_59,1,201,202,30
level_60,0,154,202,31
level_61,1,201,202,27
level_62,1,201,202,45
level_63,1,201,202,28
level_64,1,201,202,28
level_65,1,201,202,33
level_66,1,201,202,44
level_67,0,114,202,38
level_68,0,197,202,23
level_69,1,201,202,35
level_70,1,201,202,36
level_71,1,201,202,25
level_72,0,120,202,36
level_73,1,201,202,42
level_74,1,201,202,38
level_75,1,201,202,24
level_76,0,103,202,25
level_77,1,201,202,41
level_78,1,201,202,41
level_79,1,201,202,35
level_80,1,201,202,45
level_81,1,201,202,45
level_82,1,201,202,25
level_83,0,163,202,45
level_84,0,166,202,22
level_85,1,201,202,45
level_86,1,201,202,28
level_87,1,201,202,38
level_88,1,201,202,38
level_89,1,201,202,35
level_90,0,126,202,30
level_91,1,201,202,29
level_92,1,201,202,22
level_93,1,201,202,32
level_94,1,201,202,35
level_95,1,201,202,29
level_96,1,201,202,26
level_97,1,201,202,40
level_98,0,128,202,33
level_99,1,201,202,38
level_100,1,201,202,21
level_101,1,201,202,27
level_102,0,149,202,30
level_103,1,201,202,24
level_104,1,201,202,35
level_105,1,201,202,30
level_106,1,201,202,21
level_107,1,201,202,31
