id,leniency,linearity,line_distance
1,5.5,3.5200000000000005,4.4
10,1.5,2.220446049250313e-16,1.0
11,0.5,2.220446049250313e-16,1.0
12,3.5,1.607142857142857,1.5
13,3.0,1.7380952380952384,1.5
14,1.5,0.7500000000000001,0.75
15,1.5,1.140740740740741,2.111111111111111
16,0.0,2.88,2.8
17,1.5,1.28,2.0
18,2.0,4.8,4.4
19,1.5,1.6,2.8
2,4.5,0.9795918367346939,0.8571428571428571
20,1.5,4.0,3.3333333333333335
3,1.5,0.4012121212121212,3.2
4,1.5,2.220446049250313e-16,1.0
5,1.5,1.7600000000000002,1.6
6,1.5,0.22222222222222218,1.6666666666666667
7,3.5,1.5,1.5
8,1.5,1.5446428571428572,1.875
9,1.5,1.6666666666666667,2.0
