id,leniency,linearity,line_distance
1,0.0,4.16,4.8
10,1.5,0.888888888888889,1.0
11,2.5,2.9605947323337506e-16,1.3333333333333333
12,2.5,2.220446049250313e-16,1.0
13,1.5,2.220446049250313e-16,1.0
14,2.5,2.220446049250313e-16,1.0
15,2.5,2.2399999999999998,2.0
16,1.5,2.220446049250313e-16,1.0
17,1.5,1.3333333333333333,1.3333333333333333
18,1.5,2.220446049250313e-16,1.0
19,0.0,3.265306122448979,4.857142857142857
2,1.5,0.6666666666666666,2.3333333333333335
20,1.5,1.25,1.25
21,1.5,0.4444444444444445,2.0
22,1.5,2.220446049250313e-16,1.0
23,2.5,0.8,1.0
24,1.0,4.444444444444444,4.0
25,1.5,2.220446049250313e-16,1.0
26,1.5,1.6,2.8
27,1.5,2.6666666666666665,2.3333333333333335
28,1.5,2.220446049250313e-16,1.0
29,3.5,2.220446049250313e-16,1.0
3,5.5,2.220446049250313e-16,1.0
30,1.5,1.3333333333333333,1.3333333333333333
31,0.0,1.6428571428571428,2.625
32,0.0,2.08,4.0
33,2.5,0.888888888888889,1.0
34,1.5,0.6666666666666666,2.3333333333333335
35,0.0,4.444444444444444,4.0
36,-1.0,2.6666666666666665,2.6666666666666665
37,0.0,2.222222222222222,2.3333333333333335
38,0.0,2.6666666666666665,2.6666666666666665
39,0.0,0.0,2.0
4,1.5,2.220446049250313e-16,1.0
40,1.5,1.5,1.5
41,1.5,2.220446049250313e-16,1.0
42,1.5,2.220446049250313e-16,1.0
43,1.5,2.220446049250313e-16,1.0
44,1.5,1.7777777777777777,1.6666666666666667
45,2.0,2.6666666666666665,2.6666666666666665
5,2.5,2.220446049250313e-16,1.0
6,3.5,0.4444444444444445,2.0
7,1.5,0.7500000000000001,0.75
8,1.5,2.220446049250313e-16,1.0
9,-1.0,0.0,2.0
