id,leniency,linearity,line_distance
1,1.5,0.888888888888889,1.0
10,2.5,2.220446049250313e-16,1.0
11,2.5,2.220446049250313e-16,1.0
12,1.5,2.9605947323337506e-16,1.3333333333333333
13,1.5,2.220446049250313e-16,1.0
14,3.5,2.220446049250313e-16,1.0
15,3.5,2.220446049250313e-16,1.0
16,0.0,4.75,4.75
17,0.0,1.7763568394002505e-15,5.0
18,0.0,0.7200000000000004,2.0
19,1.5,0.22222222222222224,1.0
2,2.5,1.5555555555555556,3.0
20,1.5,2.220446049250313e-16,1.0
21,1.5,2.220446049250313e-16,1.0
22,4.5,2.220446049250313e-16,1.0
23,2.5,2.220446049250313e-16,1.0
24,1.5,2.9605947323337506e-16,1.3333333333333333
25,0.0,1.111111111111111,3.6666666666666665
26,1.5,2.220446049250313e-16,1.0
27,1.5,2.220446049250313e-16,1.0
28,0.0,8.881784197001252e-16,2.5
29,1.5,2.220446049250313e-16,1.0
3,1.5,2.220446049250313e-16,1.0
30,1.5,0.6666666666666666,2.3333333333333335
31,2.5,2.220446049250313e-16,1.0
32,1.5,2.220446049250313e-16,1.0
33,1.5,2.220446049250313e-16,1.0
34,1.5,1.5,1.5
35,0.0,4.0,5.0
36,1.5,0.8888888888888888,1.3333333333333333
37,0.0,0.8888888888888888,3.0
38,1.5,0.7500000000000001,0.75
39,1.5,2.220446049250313e-16,1.0
4,0.0,1.6799999999999997,2.4
40,1.5,2.220446049250313e-16,1.0
41,1.5,1.5,1.5
42,1.0,2.6666666666666665,2.6666666666666665
43,2.0,1.7763568394002505e-15,5.0
44,0.0,0.0,2.0
45,1.5,1.5,1.5
46,0.0,3.5555555555555554,3.3333333333333335
47,-1.0,0.0,2.0
48,0.0,4.444444444444444,4.0
49,1.5,0.888888888888889,1.0
5,2.5,0.4444444444444445,2.0
50,0.0,0.5,2.0
51,-1.0,2.88,2.8
52,-1.0,2.9387755102040813,2.857142857142857
53,1.5,2.220446049250313e-16,1.0
54,0.0,2.6666666666666665,2.6666666666666665
55,1.5,2.220446049250313e-16,1.0
6,1.5,2.220446049250313e-16,1.0
7,1.5,2.220446049250313e-16,1.0
8,1.5,0.8888888888888888,1.3333333333333333
9,2.5,2.220446049250313e-16,1.0
