time,leniency,linearity,line_distance,structures_used,structures_count,backtrackings,level_length,used_structures
0.12102508544921875,10.5,1.8827870061269085,2.108695652173913,34,35,0,139,"[51, 39, 50, 35, 14, 41, 31, 3, 45, 39, 20, 42, 37, 30, 9, 6, 27, 36, 42, 29, 35, 50, 13, 48, 7, 8, 43, 37, 45, 20, 12, 48, 2, 11, 31]"
0.12002730369567871,17.166666666666664,1.712599796239696,2.1666666666666665,34,35,0,139,"[51, 14, 1, 27, 32, 17, 31, 27, 1, 32, 7, 22, 12, 44, 16, 36, 3, 16, 11, 5, 16, 37, 32, 29, 13, 23, 9, 39, 24, 47, 43, 15, 25, 41, 2]"
0.7902345657348633,9.5,1.9350462259371841,1.9375,50,35,16,133,"[51, 22, 2, 37, 45, 36, 35, 38, 41, 22, 3, 44, 25, 20, 2, 45, 18, 26, 24, 33, 5, 35, 42, 9, 9, 18, 39, 8, 33, 50, 2, 18, 48, 23, 36]"
0.1180276870727539,12.5,2.2323601652338954,2.769230769230769,34,35,0,150,"[51, 31, 30, 3, 36, 7, 15, 26, 1, 44, 31, 47, 25, 1, 34, 3, 24, 18, 36, 14, 24, 49, 44, 18, 2, 33, 27, 36, 20, 23, 6, 36, 15, 13, 16]"
0.1210336685180664,10.5,2.0183613492730883,2.540983606557377,36,35,2,138,"[51, 41, 25, 7, 8, 6, 12, 7, 22, 27, 3, 15, 1, 19, 34, 42, 47, 15, 29, 11, 13, 48, 2, 12, 31, 47, 13, 39, 44, 24, 1, 46, 30, 24, 48]"
0.11602616310119629,11.5,1.9908802308802307,2.9454545454545453,34,35,0,125,"[51, 7, 31, 30, 49, 19, 43, 36, 1, 44, 50, 19, 18, 20, 17, 31, 42, 17, 30, 50, 23, 6, 32, 24, 39, 32, 2, 7, 32, 33, 20, 27, 15, 50, 4]"
0.11356043815612793,16.0,2.052840603871446,2.55,34,35,0,161,"[51, 33, 47, 13, 35, 5, 7, 49, 42, 33, 2, 32, 41, 18, 11, 9, 12, 22, 20, 41, 18, 16, 15, 41, 14, 27, 28, 25, 8, 10, 48, 7, 9, 41, 2]"
0.1950511932373047,16.75,2.4735143644234556,2.981818181818182,36,35,2,124,"[51, 31, 45, 36, 24, 12, 28, 31, 3, 16, 27, 34, 26, 15, 42, 34, 30, 36, 27, 39, 38, 44, 20, 25, 48, 16, 22, 16, 27, 23, 46, 41, 14, 6, 9]"
0.16203665733337402,10.25,2.466598452052997,2.672727272727273,34,35,0,140,"[51, 14, 43, 22, 50, 36, 44, 26, 9, 14, 8, 26, 48, 31, 30, 11, 40, 18, 24, 7, 6, 38, 19, 28, 27, 16, 15, 28, 18, 6, 48, 41, 47, 36, 28]"
0.270061731338501,23.055555555555557,1.9413471570161707,1.8611111111111112,36,35,2,191,"[51, 22, 24, 41, 12, 2, 25, 16, 2, 43, 18, 10, 3, 23, 9, 49, 40, 8, 1, 25, 15, 27, 15, 27, 46, 9, 10, 15, 27, 46, 34, 9, 7, 26, 9]"
