id,leniency,linearity,line_distance
1,-1.0,2.6666666666666665,2.6666666666666665
10,2.5,1.7777777777777777,1.6666666666666667
11,1.5,2.220446049250313e-16,1.0
12,3.5,4.0,4.0
13,3.5,1.6666666666666667,2.0
14,1.5,0.7500000000000001,0.75
15,3.5,4.0,3.3333333333333335
16,1.5,1.5555555555555554,2.0
17,2.5,2.220446049250313e-16,1.0
18,3.5,0.68,1.4
19,1.5,8.881784197001252e-16,2.5
2,1.5,2.220446049250313e-16,1.0
20,1.5,1.7763568394002505e-15,5.0
21,0.0,1.1904761904761902,5.333333333333333
22,1.5,2.48,2.2
23,1.5,2.220446049250313e-16,1.0
24,2.5,1.5,1.5
25,2.5,0.8,1.0
26,4.5,2.220446049250313e-16,1.0
27,1.5,2.220446049250313e-16,1.0
28,1.0,2.08,4.0
29,1.5,1.3333333333333333,1.3333333333333333
3,3.5,2.220446049250313e-16,1.0
30,1.5,2.222222222222222,2.0
31,0.0,1.7763568394002505e-15,5.0
32,0.0,4.16,4.8
33,1.5,1.3469387755102045,1.7142857142857142
34,1.5,2.220446049250313e-16,1.0
35,-1.0,2.9387755102040813,2.857142857142857
4,1.5,2.220446049250313e-16,1.0
5,1.5,0.23809523809523825,2.0
6,1.5,2.220446049250313e-16,1.0
7,1.5,2.220446049250313e-16,1.0
8,2.5,2.220446049250313e-16,1.0
9,1.5,1.4400000000000002,1.6
