time,leniency,linearity,structures_used,level_length
0.08904123306274414,13.5,2.2401364402822956,34,134
0.08512759208679199,6.0,2.2040023976656236,34,127
0.08507037162780762,13.833333333333334,2.2544864345738294,34,134
0.08820819854736328,8.25,2.5481084707982915,34,127
0.0858755111694336,14.5,2.2990755035045694,34,144
0.5778264999389648,14.0,2.6682447579333393,54,138
0.08702921867370605,13.5,1.9126365182670142,34,136
0.08910083770751953,11.5,2.33249901613538,34,143
0.08507370948791504,11.5,1.9336519580479286,34,133
0.19624829292297363,5.0,2.27659184337385,39,142
0.08159327507019043,7.5,2.5112287676894915,34,119
0.09059476852416992,16.0,2.734926718854043,34,144
0.0801687240600586,11.5,2.213227933413053,34,117
0.08405804634094238,7.0,2.2238533832066394,34,133
0.0981748104095459,6.0,1.8543473832819426,35,144
0.09004831314086914,10.5,2.206115258868882,34,138
0.11902642250061035,8.0,2.0317686847111722,34,145
0.13858270645141602,11.5,2.295543523531862,34,139
0.08507490158081055,16.0,2.431674034211032,34,141
0.0895226001739502,14.0,2.2031455357406915,34,140
0.15918660163879395,5.0,2.4796642061079748,39,133
0.08557939529418945,10.5,1.9165104774162411,34,148
0.09304118156433105,6.5,1.8972927823611714,34,167
0.08453106880187988,10.5,1.759488953952621,34,147
0.09402108192443848,10.1,1.980177034175667,34,154
0.08854961395263672,6.0,2.5372488042986205,34,125
0.21359014511108398,9.5,3.8881948501325656,35,97
0.5813899040222168,9.5,2.635865183034995,52,133
0.14458847045898438,5.833333333333334,2.202423919794162,34,147
0.08301854133605957,10.0,2.1514523639086085,34,135
0.08802628517150879,8.5,1.8542868180962668,34,136
0.08601832389831543,14.722222222222221,2.8647632390110176,34,114
0.10102224349975586,17.0,1.7698808310950576,35,157
0.0845494270324707,11.5,2.079018118059614,34,134
0.08852243423461914,11.833333333333334,2.168771795577889,34,139
0.22807812690734863,7.5,2.120796098012189,41,143
0.08766841888427734,10.5,2.2681525241675624,34,147
0.08603978157043457,13.833333333333332,1.9978007632511408,34,142
0.174530029296875,10.0,3.279020730070925,34,143
0.08705639839172363,8.0,1.830925469533441,34,131
0.10697078704833984,16.0,2.3080205049829656,34,128
0.08466672897338867,14.0,1.907084257534084,34,139
0.08870434761047363,15.166666666666664,1.9142558029939307,34,155
0.10601639747619629,10.0,2.0082670169203434,34,143
0.38094425201416016,12.0,2.5021237747453395,44,146
0.09807538986206055,12.5,1.70022569027611,35,138
0.08083963394165039,6.5,2.1388421491045393,34,122
0.09731864929199219,14.0,2.684670393044096,35,142
0.0867307186126709,11.0,1.6510620574760515,34,136
0.09303641319274902,14.5,2.2780966578883426,34,133
0.09165620803833008,5.833333333333334,2.2783597840724488,34,141
0.08858704566955566,10.0,2.2257997599039623,34,125
0.08804583549499512,10.0,1.7676490809089591,34,141
0.39748430252075195,14.5,3.274570741758241,38,115
0.10929250717163086,6.5,3.152841268325078,34,143
0.09505200386047363,11.5,2.4883213952039873,34,142
0.13203144073486328,16.0,2.225707465078249,36,134
0.09902215003967285,12.5,2.6159870745132405,34,146
0.08703804016113281,19.0,2.4056281614738135,34,127
0.18010687828063965,10.0,2.221273605621432,35,134
0.3058936595916748,6.833333333333334,2.4478072125870876,36,116
0.08659672737121582,8.5,2.059006002400961,34,132
0.08527302742004395,11.5,1.8574029345780863,34,136
0.43483614921569824,5.0,2.6871106178840085,46,135
0.08518552780151367,7.5,2.379760662900783,34,141
0.08800721168518066,10.5,2.274588147302537,34,144
0.09949207305908203,13.0,2.4121368692078975,34,138
0.09003233909606934,15.0,1.7903586075578561,34,143
0.42358994483947754,15.0,3.631628651460585,36,94
0.08815145492553711,13.5,2.0320343531937746,34,154
0.13814997673034668,12.0,1.8710881801125705,34,150
0.09812450408935547,6.5,1.719395621338267,34,155
0.08794689178466797,11.9,2.1055048335123527,34,148
0.11659669876098633,7.5,2.368015234121283,34,125
0.09175610542297363,9.166666666666666,2.0902720838049085,34,159
0.15773510932922363,14.0,3.0805693964278995,39,123
0.10566163063049316,9.0,2.522410881801125,34,105
0.23400545120239258,17.0,2.120769418066715,38,130
0.10698771476745605,12.166666666666664,2.1815200433024486,34,139
0.3083984851837158,16.0,2.402515509475652,42,113
0.08253169059753418,13.5,1.9745729582731368,34,119
0.08206796646118164,12.5,2.8139120628452066,34,120
0.08721423149108887,10.0,2.651518969941349,34,110
0.08461594581604004,10.0,2.5879711453959575,34,106
14.971069097518921,8.5,4.055409182551319,326,87
0.10903048515319824,8.5,1.8135904499540862,34,159
0.08900570869445801,9.5,2.1114768218031927,34,141
0.0790245532989502,16.0,2.3640797631109183,34,118
0.08748126029968262,2.0,1.6521353657014888,34,146
0.1412065029144287,14.5,2.280511257035648,34,139
0.08957433700561523,11.5,2.3031110493655644,34,158
0.09657502174377441,8.5,2.176701268742791,35,138
0.08567166328430176,5.5,1.7669517586008074,34,130
0.0850667953491211,6.833333333333334,2.520345024691189,34,133
0.10896086692810059,7.0,2.716686698717948,35,131
0.09499621391296387,7.0,2.663471568878304,34,123
0.08672547340393066,6.0,2.5575111611631733,34,134
1.1846883296966553,11.5,3.4922448979591842,54,102
0.15171003341674805,8.5,2.7491027090810753,35,127
0.08628988265991211,7.5,1.9473537305421367,34,126
