level,result,block_reached,total_length,time
level_0.txt,1,201,201,26
level_1.txt,1,201,201,26
level_2.txt,1,201,201,26
level_3.txt,1,163,163,23
level_4.txt,1,194,194,31
level_5.txt,1,201,201,27
level_6.txt,0,108,179,12
level_7.txt,1,201,201,27
level_8.txt,1,201,201,27
level_9.txt,0,52,179,45
level_10.txt,1,201,201,28
level_11.txt,1,179,179,24
level_12.txt,1,201,201,25
level_13.txt,1,201,201,25
level_14.txt,1,201,201,28
level_15.txt,1,191,191,26
level_16.txt,0,141,201,20
level_17.txt,1,188,188,25
level_18.txt,0,182,201,20
level_19.txt,0,109,201,14
level_20.txt,0,93,198,11
level_21.txt,1,201,201,27
level_22.txt,0,109,201,45
level_23.txt,0,56,182,45
level_24.txt,1,201,201,28
level_25.txt,1,201,201,27
level_26.txt,0,30,195,45
level_27.txt,1,201,201,27
level_28.txt,1,201,201,27
level_29.txt,1,201,201,25
level_30.txt,0,188,201,20
level_31.txt,1,176,176,24
level_32.txt,1,201,201,29
level_33.txt,0,93,201,45
level_34.txt,0,95,180,45
level_35.txt,1,201,201,27
level_36.txt,1,201,201,25
level_37.txt,1,192,192,26
level_38.txt,1,164,164,23
level_39.txt,1,201,201,28
level_40.txt,0,91,201,45
level_41.txt,0,184,201,45
level_42.txt,1,201,201,27
level_43.txt,1,201,201,26
level_44.txt,1,201,201,29
level_45.txt,1,188,188,27
level_46.txt,1,198,198,28
level_47.txt,0,167,188,20
level_48.txt,1,174,174,24
level_49.txt,0,10,182,45
level_50.txt,1,201,201,26
level_51.txt,1,193,193,27
level_52.txt,0,13,201,45
level_53.txt,1,201,201,26
level_54.txt,1,201,201,26
level_55.txt,0,157,201,45
level_56.txt,0,91,201,45
level_57.txt,1,189,189,25
level_58.txt,0,6,162,45
level_59.txt,1,173,173,24
level_60.txt,1,201,201,25
level_61.txt,0,24,201,45
level_62.txt,0,138,201,45
level_63.txt,1,182,182,24
level_64.txt,1,201,201,26
level_65.txt,1,201,201,26
level_66.txt,0,8,201,44
level_67.txt,1,201,201,26
level_68.txt,1,201,201,26
level_69.txt,1,177,177,25
level_70.txt,0,75,201,9
level_71.txt,0,111,201,45
level_72.txt,0,108,201,45
level_73.txt,1,201,201,30
level_74.txt,1,192,192,27
level_75.txt,1,201,201,27
level_76.txt,0,38,201,45
level_77.txt,0,24,177,45
level_78.txt,1,162,162,22
level_79.txt,0,62,201,8
level_80.txt,1,201,201,27
level_81.txt,1,201,201,25
level_82.txt,0,85,201,45
level_83.txt,0,188,201,24
level_84.txt,1,198,198,29
level_85.txt,0,146,201,45
level_86.txt,0,177,201,22
level_87.txt,1,201,201,26
level_88.txt,0,29,201,45
level_89.txt,0,196,201,20
level_90.txt,1,201,201,28
level_91.txt,1,201,201,28
level_92.txt,1,201,201,26
level_93.txt,1,201,201,26
level_94.txt,1,174,174,26
level_95.txt,0,172,201,45
level_96.txt,0,31,201,45
level_97.txt,0,11,171,45
level_98.txt,1,201,201,27
level_99.txt,1,152,152,21
level_100.txt,0,132,201,45
level_101.txt,1,184,184,24
level_102.txt,1,201,201,28
level_103.txt,1,201,201,27
level_104.txt,0,117,201,45
level_105.txt,1,201,201,25
level_106.txt,0,85,201,45
level_107.txt,1,201,201,27
level_108.txt,1,201,201,27
level_109.txt,1,201,201,26
level_110.txt,1,179,179,26
level_111.txt,0,141,185,18
level_112.txt,1,201,201,27
level_113.txt,0,20,201,3
level_114.txt,1,201,201,28
level_115.txt,1,200,200,30
level_116.txt,1,196,196,27
level_117.txt,1,201,201,29
level_118.txt,1,201,201,28
level_119.txt,1,196,196,26
level_120.txt,1,150,150,20
level_121.txt,1,201,201,29
level_122.txt,0,64,201,45
level_123.txt,1,187,187,26
level_124.txt,1,201,201,28
level_125.txt,1,177,177,24
level_126.txt,0,40,201,5
level_127.txt,1,201,201,26
level_128.txt,1,182,182,23
level_129.txt,1,189,189,27
level_130.txt,1,201,201,26
level_131.txt,1,201,201,25
level_132.txt,0,53,201,45
level_133.txt,1,185,185,26
level_134.txt,0,117,186,45
level_135.txt,0,16,201,45
level_136.txt,0,73,201,45
level_137.txt,1,201,201,29
level_138.txt,1,184,184,25
level_139.txt,1,201,201,26
level_140.txt,0,26,201,45
level_141.txt,0,17,201,45
level_142.txt,0,87,174,45
level_143.txt,1,201,201,27
level_144.txt,1,201,201,27
level_145.txt,0,69,163,45
level_146.txt,1,174,174,23
level_147.txt,0,170,180,19
level_148.txt,1,180,180,24
level_149.txt,0,196,201,45
level_150.txt,0,161,201,45
level_151.txt,1,189,189,27
level_152.txt,1,201,201,28
level_153.txt,1,201,201,28
level_154.txt,0,63,201,45
level_155.txt,0,23,201,45
level_156.txt,1,197,197,27
level_157.txt,1,195,195,27
