59, 3, 35
47, 3, 41
50, 3, 40
49, 2, 37
40, 4, 15
27, 3, 15
45, 3, 45
60, 2, 57
17, 3, 50
33, 3, 44
61, 1, 31
35, 2, 14
43, 4, 61
56, 4, 72
1, 4, 52
52, 3, 68
21, 2, 39
8, 2, 33
38, 1, 31
58, 4, 57
30, 4, 74
10, 3, 62
39, 2, 14
22, 2, 14
57, 2, 56
20, 3, 68
34, 2, 39
16, 2, 60
46, 2, 29
31, 3, 71
15, 4, 55
28, 2, 56
24, 5, 97
36, 5, 93
55, 5, 57
44, 5, 94
19, 4, 73
9, 4, 98
11, 3, 54
32, 3, 85
13, 4, 47
37, 3, 60
23, 3, 90
48, 4, 120
26, 3, 90
6, 3, 90
54, 3, 90
5, 3, 90
14, 3, 69
2, 3, 90
51, 3, 90
4, 3, 90
53, 3, 90
12, 3, 90
18, 3, 90
25, 3, 90
29, 3, 90
41, 3, 69
42, 3, 90
7, 3, 90
3, 3, 69
