id,leniency,linearity,line_distance
1,2.0,2.220446049250313e-16,1.0
10,1.5,1.3571428571428572,2.375
11,0.0,4.444444444444444,6.0
12,0.0,2.88,2.8
13,1.5,0.7200000000000002,3.2
14,1.5,2.9605947323337506e-16,1.3333333333333333
15,1.0,1.7763568394002505e-15,5.0
16,3.0,0.8888888888888888,1.3333333333333333
17,1.5,2.220446049250313e-16,1.0
18,0.0,0.0,2.0
19,1.5,1.5,1.5
2,2.0,0.0,0.0
20,2.5,2.0571428571428574,2.8333333333333335
21,1.5,0.7500000000000001,0.75
22,1.5,2.220446049250313e-16,1.0
23,1.5,0.6666666666666666,2.3333333333333335
24,0.0,0.0,0.0
25,1.5,0.8888888888888888,1.3333333333333333
26,4.5,2.220446049250313e-16,1.0
27,1.5,0.4444444444444445,2.0
28,1.5,1.0,1.0
29,0.0,0.0,2.0
3,2.5,3.5,3.5
30,0.0,1.8285714285714285,1.6666666666666667
31,2.5,1.25,1.25
32,1.5,1.3333333333333333,1.3333333333333333
33,2.5,2.220446049250313e-16,1.0
34,0.0,2.220446049250313e-16,3.0
35,1.5,1.8,2.5
4,-1.0,0.0,2.0
5,2.0,2.220446049250313e-16,2.0
6,0.0,4.75,4.75
7,0.0,0.0,1.5
8,1.5,2.220446049250313e-16,1.0
9,1.5,2.220446049250313e-16,1.0
